date, pm25, pm10, o3, no2, so2, co
2019/5/3, 58, 30, 12, 10, 1, 7
2019/5/4, 64, 61, 14, , 1, 9
2019/5/5, 136, 69, 23, , , 6
2019/5/6, 136, 67, 18, 2, , 6
2019/5/7, 138, 69, 18, 3, , 6
2019/5/8, 148, 69, 19, 2, , 5
2019/5/9, 146, 67, 19, 2, , 5
2019/5/10, 145, 64, 17, 1, , 5
2019/5/11, 131, 62, 15, 1, , 5
2019/5/12, 131, 57, 15, 1, , 5
2019/5/13, 118, 48, 13, 3, , 6
2019/5/14, 93, 50, 21, 2, , 6
2019/5/15, 103, 50, 20, 3, , 7
2019/5/16, 109, 56, 18, 2, , 6
2019/5/17, 125, 56, 16, 1, , 5
2019/5/18, 118, 56, 20, 1, , 6
2019/5/19, 121, 54, 15, 1, , 6
2019/5/20, 111, 53, 11, 2, , 6
2019/5/21, 91, 54, 11, 2, 1, 7
2019/5/22, 101, 44, 16, 2, 1, 6
2019/5/23, 92, 45, 14, 2, 1, 6
2019/5/24, 83, 40, 12, 3, 1, 6
2019/5/25, 75, 30, 9, 3, 1, 7
2019/5/26, 63, , , , , 
2019/6/3, 84, 41, 15, 3, 3, 6
2019/6/4, 98, 34, 13, 10, 1, 6
2019/6/5, 76, 25, 12, 9, 1, 6
2019/6/6, 66, 23, 13, 7, 1, 6
2019/6/7, 58, 17, 13, 6, 1, 6
2019/6/8, 52, 33, 19, 5, 1, 6
2019/6/9, 74, 44, 14, 6, 1, 6
2019/6/10, 76, 41, 14, 7, 1, 5
2019/6/11, 78, 42, 13, 6, 1, 5
2019/6/12, 82, 46, 32, 11, 1, 7
2019/6/13, 100, 52, 22, 8, 1, 8
2019/6/14, 110, , , , , 
2019/6/17, 116, 55, 30, 14, 1, 7
2019/6/18, 114, 59, 38, 12, , 7
2019/6/19, 124, 49, 21, 14, , 8
2019/6/20, 103, 26, 18, 11, , 6
2019/6/21, 63, 23, 22, 9, , 6
2019/6/22, 58, 22, 18, 7, , 5
2019/6/23, 59, 31, 24, 8, 1, 4
2019/6/24, 68, 32, 20, 7, 1, 5
2019/6/25, 57, 28, 21, 7, 1, 5
2019/6/26, 59, 31, 21, 7, 2, 5
2019/6/27, 61, 38, 28, 11, 2, 8
2019/6/28, 76, 51, 29, 14, 1, 11
2019/6/29, 97, 53, 18, 16, 1, 12
2019/6/30, 106, 33, 17, 10, 1, 10
2019/1/1, 233, 140, 23, 54, 9, 13
2019/1/2, 214, 182, 25, 67, 12, 20
2019/1/3, 247, 205, 29, 68, 7, 18
2019/1/4, 275, 171, 25, 56, 8, 18
2019/1/5, 240, 139, 23, 51, 8, 13
2019/1/6, 204, 128, 24, 59, 9, 17
2019/1/7, 195, 147, 20, 49, 6, 17
2019/1/8, 224, 137, 20, 55, 9, 17
2019/1/9, 230, 150, 28, 61, 9, 19
2019/1/10, 243, 160, 28, 63, 8, 20
2019/1/11, 234, 223, 22, 62, 10, 23
2019/1/12, 316, 155, 23, 56, 8, 17
2019/1/13, 242, 251, 21, 67, 13, 27
2019/1/14, 321, 175, 23, 62, 9, 18
2019/1/15, 265, 123, 30, 57, 9, 13
2019/1/16, 192, 156, 30, 62, 8, 18
2019/1/17, 218, 182, 29, 71, 10, 22
2019/1/18, 229, 218, 31, 67, 8, 21
2019/1/19, 260, 175, 28, 62, 8, 18
2019/1/20, 244, 190, 28, 68, 9, 27
2019/1/21, 267, 262, 22, 84, 8, 35
2019/1/22, 326, 191, 27, 66, 4, 26
2019/1/23, 277, 139, 28, 64, 5, 19
2019/1/24, 222, 121, 23, 64, 4, 16
2019/1/25, 189, 111, 20, 51, 5, 10
2019/1/26, 175, 103, 14, 50, 8, 9
2019/1/27, 167, 93, 15, 38, 7, 9
2019/1/28, 166, 95, 25, 41, 5, 9
2019/1/29, 161, 99, 26, 48, 9, 9
2019/1/30, 161, 156, 28, 54, 9, 17
2019/1/31, 196, 148, 26, 62, 8, 15
2019/2/1, 197, 179, 30, 59, 8, 22
2019/2/2, 218, 167, 31, 58, 10, 18
2019/2/3, 202, 146, 27, 64, 10, 19
2019/2/4, 195, 155, 32, 58, 11, 19
2019/2/5, 204, 159, 30, 63, 11, 19
2019/2/6, 207, 148, 35, 62, 11, 17
2019/2/7, 208, 118, 40, 48, 6, 11
2019/2/8, 176, 91, 28, 24, 7, 8
2019/2/9, 166, 69, 33, 30, 6, 4
2019/2/10, 123, 89, 33, 49, 8, 7
2019/2/11, 154, 114, 36, 49, 9, 10
2019/2/12, 172, 144, 36, 54, 16, 14
2019/2/13, 181, 209, 39, 66, 12, 23
2019/2/14, 225, 167, 43, 63, 13, 19
2019/2/15, 208, 108, 22, 50, 10, 12
2019/2/16, 154, 80, 35, 37, 6, 8
2019/2/17, 154, 96, 40, 50, 7, 10
2019/2/18, 167, 106, 39, 45, 8, 11
2019/2/19, 175, 80, 29, 32, 6, 10
2019/2/20, 158, 124, 38, 43, 9, 12
2019/2/21, 177, 79, 25, 29, 15, 8
2019/2/22, 152, 104, 33, 44, 8, 12
2019/2/23, 164, 127, 40, 43, 8, 9
2019/2/24, 176, 75, 18, 34, 4, 8
2019/2/25, 135, 46, 11, 26, 1, 8
2019/2/26, 98, 25, 13, 24, 1, 6
2019/2/27, 64, 30, 13, 26, 2, 8
2019/2/28, 73, 65, 31, 34, 5, 9
2019/3/1, 119, 89, 36, 45, 5, 12
2019/3/2, 142, 118, 38, 60, 11, 16
2019/3/3, 166, 84, 14, 30, 5, 9
2019/3/4, 143, 53, 16, 28, 2, 10
2019/3/5, 111, 72, 25, 28, 4, 10
2019/3/6, 138, 90, 31, 36, 7, 10
2019/3/7, 155, 97, 18, 44, 10, 9
2019/3/8, 159, , , , , 
2019/3/10, 121, 70, 19, 24, 3, 9
2019/3/11, 117, 78, 30, 20, 10, 8
2019/3/12, 158, 71, 24, 22, 7, 9
2019/3/13, 141, 86, 41, 23, 8, 8
2019/3/14, 165, 79, 27, 37, 5, 9
2019/3/15, 163, 57, 25, 29, 6, 7
2019/3/16, 119, 70, 34, 21, 4, 8
2019/3/17, 145, 47, 24, 31, 5, 6
2019/3/18, 100, 56, 32, 21, 9, 7
2019/3/19, 133, 62, 26, 24, 6, 7
2019/3/20, 126, 58, 35, 11, 4, 6
2019/3/21, 119, 54, 24, 15, 5, 6
2019/3/22, 111, 71, 32, 33, 5, 8
2019/3/23, 135, 80, 34, 35, 4, 9
2019/3/24, 143, 96, 38, 39, 6, 11
2019/3/25, 163, 87, 28, 18, 3, 7
2019/3/26, 146, 74, 38, 29, 10, 6
2019/3/27, 125, 64, 23, 17, 4, 7
2019/3/28, 121, 58, 17, 15, 4, 5
2019/3/29, 107, 59, 24, 12, 2, 6
2019/3/30, 106, 55, 14, 8, 3, 6
2019/3/31, 113, 41, 17, 13, 1, 6
2018/12/1, 176, 112, 21, 43, 3, 13
2018/12/2, 185, 134, 26, 40, 4, 16
2018/12/3, 207, 144, 33, 49, 7, 18
2018/12/4, 208, 235, 2, 33, 3, 24
2018/12/5, 292, 200, 2, 48, 4, 35
2018/12/6, 248, 244, 27, 31, 13, 28
2018/12/7, 298, 238, 9, 39, 13, 26
2018/12/8, 294, 195, 29, 31, 6, 17
2018/12/9, 254, 147, 27, 25, 6, 20
2018/12/10, 238, 181, 17, 23, 9, 23
2018/12/11, 263, , , , , 
2018/12/15, 172, 120, 23, 28, 13, 10
2018/12/16, 174, 97, 15, 23, 6, 9
2018/12/17, 166, 60, 13, 17, 3, 7
2018/12/18, 123, 69, 20, 21, 8, 8
2018/12/19, 128, 100, 30, 23, 6, 12
2018/12/20, 168, 154, 35, 26, 4, 22
2018/12/21, 213, 203, 31, 31, 8, 20
2018/12/22, 253, 158, 31, 31, 4, 13
2018/12/23, 217, 122, 25, 39, 5, 10
2018/12/24, 191, 205, 31, 52, 7, 17
2018/12/25, 231, 176, 29, 57, 6, 17
2018/12/26, 239, 244, 26, 61, 9, 25
2018/12/27, 289, 198, 24, 62, 6, 20
2018/12/28, 254, 198, 28, 57, 7, 20
2018/12/29, 262, 149, 26, 51, 9, 11
2018/12/30, 217, , , , , 
2020/2/2, , 77, 55, 36, 7, 2
2019/12/31, , 161, 37, 28, 6, 39
2019/10/8, , 33, 11, 12, 1, 9
2019/10/25, , 37, 11, 16, 2, 10
2019/8/29, , 49, 12, 10, 1, 9
2019/9/3, , 22, 10, 9, 1, 10
2019/9/15, , 47, 19, 10, 2, 9
2019/6/2, , 40, 33, 3, 3, 5
2019/6/16, , 62, 34, 11, 1, 8
2018/12/31, , 188, 24, 58, 7, 15
2019/3/9, , 63, 13, 15, 4, 8
2018/11/30, , 116, 27, 43, 7, 14
2018/12/14, , 113, 26, 33, 10, 10
2017/10/12, , 15, , , , 
2017/10/16, , 75, 18, 27, 2, 10
2017/10/17, , 80, 6, 23, 3, 12
2017/10/18, , 99, , , , 
2017/7/1, , 82, 72, 29, 26, 9
2017/7/2, , 61, 5, 20, 6, 7
2017/7/3, , 28, , 16, 6, 4
2017/7/4, , 22, , , , 
2017/7/6, , 30, 92, 43, 47, 4
2017/7/7, , 81, 80, 45, 43, 8
2017/7/8, , 90, 42, 28, 23, 5
2017/7/9, , 54, 16, 23, 9, 7
2017/7/10, , 36, 295, 28, 5, 7
2017/7/11, , 24, , 28, 6, 5
2017/7/12, , 45, , 20, 4, 5
2017/7/13, , 15, , 17, 4, 5
2017/7/14, , 21, , 13, 4, 5
2017/7/15, , 16, 324, 41, 78, 9
2017/7/16, , 97, , 14, 4, 3
2017/7/17, , 12, 6, 13, 4, 5
2017/7/18, , 19, 5, 14, 5, 4
2017/7/19, , 23, 2, 27, 4, 2
2017/7/20, , 36, 6, 23, 6, 6
2017/7/21, , 26, 33, 24, 10, 7
2017/7/22, , 35, 5, 18, 4, 7
2017/7/23, , 16, 22, 17, 7, 7
2017/7/24, , 17, 9, 20, 8, 5
2017/7/25, , 26, 8, 26, 5, 6
2017/7/26, , 38, 8, 24, 4, 5
2017/7/27, , 32, 4, 17, 5, 7
2017/7/28, , 39, , , , 
2017/7/31, , 19, , , , 
2017/4/1, , 42, 10, 5, 3, 6
2017/4/2, , 38, 18, 6, 3, 6
2017/4/3, , 40, 9, 7, 3, 4
2017/4/4, , 38, 7, 7, 3, 8
2017/4/5, , 39, 8, 6, 3, 7
2017/4/6, , 33, 10, 6, 3, 8
2017/4/7, , 37, 14, 6, 3, 6
2017/4/8, , 44, 16, 5, 2, 6
2017/4/9, , 43, 23, 7, 3, 4
